# IKS4A1 

time[us],acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps]
253027166,-15,67,1057,-21367,2843,1286
253035188,-15,67,1057,-23047,5013,-236
253035721,-16,75,1052,-23047,5013,-236
253043740,-4,46,1011,-23896,7166,-1706
253052283,-10,46,970,-21332,7507,-1618
253060828,-16,74,953,-17613,7008,-1846
253069373,-25,86,946,-14411,6536,-3543
253077918,-28,77,937,-11112,6326,-6107
253086462,-19,55,919,-8391,5976,-8723
253095007,-13,24,905,-6002,4830,-10657
253103552,-8,-21,910,-4077,3281,-10823
253106484,-8,-21,910,-4077,3281,-10823
253111896,-8,-21,910,-2380,1986,-8767
253112429,-7,-52,932,-2380,1986,-8767
253120451,-7,-52,932,-1610,1233,-5985
253120984,-13,-43,967,-1610,1233,-5985
253129005,-13,-43,967,-3010,2152,-4086
253129538,-13,-36,1008,-3010,2152,-4086
253137559,-13,-36,1008,-6545,4095,-2686
253138092,-16,-44,1030,-6545,4095,-2686
253146113,-9,-50,1030,-10631,6308,-1618
253154658,1,-67,1006,-12451,8417,210
253163202,10,-61,975,-11060,10132,3036
253171747,12,-27,952,-8680,11068,4961
253180291,7,17,929,-6833,11156,5145
253188836,-3,44,906,-5696,10788,4007
253197380,-7,39,876,-4392,9975,2940
253205924,-14,24,856,-1715,8347,2686
253207400,-14,24,856,-1715,8347,2686
253214269,-14,24,856,945,6615,2677
253214802,-19,35,859,945,6615,2677
253222821,-19,35,859,1286,5066,1723
253223354,-22,50,868,1286,5066,1723
253231373,-22,50,868,96,3456,647
253231906,-24,34,878,96,3456,647
253239925,-24,34,878,-1741,2187,70
253240458,-15,20,900,-1741,2187,70
253248480,-15,20,900,-3946,1303,245
253249013,-2,-8,907,-3946,1303,245
253257035,7,-37,898,-4130,840,1522
253265579,12,-35,889,-3876,-297,3272
253274123,10,-12,902,-5897,-2747,4357
253282667,-6,-4,952,-10360,-5635,4392
253291211,-5,-31,1018,-14017,-6781,4567
253299756,0,-47,1078,-14726,-4707,6335
253308300,-8,-15,1108,-14393,-455,8181
253316846,-10,20,1115,-13098,4620,8067
253325391,1,38,1103,-11550,10080,6851
253333727,1,38,1103,-10141,14376,5005
253334260,11,47,1065,-10141,14376,5005
253342281,11,47,1065,-8557,16913,2808
253342815,18,36,1023,-8557,16913,2808
253350836,18,36,1023,-6571,18173,1382
253351369,32,13,980,-6571,18173,1382
253359390,32,13,980,-4261,17631,840
253359923,31,4,937,-4261,17631,840
253367944,31,4,937,-2082,15741,875
253368478,29,0,919,-2082,15741,875
253376497,29,0,919,-770,13133,603
253377030,19,-4,928,-770,13133,603
253385049,6,-14,957,148,11375,-61
253393593,-9,-23,981,393,10928,-140
253402137,-9,-39,1000,630,11287,8
253409434,-9,-39,1000,630,11287,8
253410689,-9,-58,1013,586,12477,560
253419233,-17,-61,1006,-288,13973,1496
253427778,-21,-45,979,-1435,14892,2283
253436322,-25,-28,952,-1627,14883,2266
253444866,-29,-13,928,-1478,14061,1487
253453203,-29,-13,928,-1181,12495,-315
253453736,-27,-5,906,-1181,12495,-315
253461757,-27,-5,906,-735,9948,-2231
253462290,-27,-19,889,-735,9948,-2231
253470311,-27,-19,889,840,6825,-3053
253470845,-25,-45,894,840,6825,-3053
253478866,-25,-45,894,3071,4418,-2992
253479399,-24,-58,914,3071,4418,-2992
253487420,-30,-47,937,4252,2922,-2581
253495965,-35,-36,977,4270,1837,-2555
253504509,-42,-50,1032,3386,2030,-2835
253510559,-42,-50,1032,3386,2030,-2835
253513062,-42,-87,1069,3587,4733,-2292
253521606,-38,-101,1072,5180,8881,-341
253530150,-39,-76,1036,7096,12915,1006
253538694,-44,-58,979,8251,14936,953
253547239,-44,-60,929,8706,14743,1067
253555784,-46,-51,895,9152,13396,1557
253564120,-46,-51,895,8837,11261,1627
253564653,-55,-18,865,8837,11261,1627
253572672,-55,-18,865,8181,8155,236
253573205,-64,4,844,8181,8155,236
253581226,-64,4,844,7901,4602,-1198
253581759,-69,7,839,7901,4602,-1198
253589780,-69,7,839,7936,1050,-2222
