# IKS4A1 

time[us],acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps]
148744495,47,34,723,-10167,-516,-2310
148745028,43,47,749,-10167,-516,-2310
148753048,43,47,749,-805,-11086,-3928
148753581,48,62,815,-805,-11086,-3928
148761601,48,62,815,4926,-19083,-6387
148762134,63,77,910,4926,-19083,-6387
148770155,67,78,1003,5888,-23511,-8837
148773502,67,78,1003,5888,-23511,-8837
148778706,70,61,1079,4086,-24771,-10517
148787250,73,49,1145,367,-22837,-10710
148795794,61,41,1196,-4445,-17115,-10736
148804337,43,38,1206,-9896,-8802,-11313
148812880,37,30,1182,-15846,-481,-11830
148821216,37,30,1182,-23030,7210,-11480
148821749,27,24,1149,-23030,7210,-11480
